Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Tuition fees up to date,Curricular units 1st sem (grade),Age at enrollment,Admission grade,Curricular units 2nd sem (evaluations),Previous qualification (grade),Course,Curricular units 1st sem (evaluations),Father's occupation,Mother's occupation,GDP,Application mode,Mother's qualification,Father's qualification,Scholarship holder,Debtor,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Previous qualification,Displaced,Curricular units 2nd sem (without evaluations),Curricular units 1st sem (without evaluations),Inflation rate,Unemployment rate,Gender,Application order,Target
0,0.0,0,1,0.0,20,127.3,0,122.0,171,0,9,5,1.74,17,19,12,0,0,0,0,1,1,0,0,1.4,10.8,1,5,Dropout
6,13.66666667,6,0,14.0,19,142.5,6,160.0,9254,6,3,3,0.79,15,1,3,0,0,6,6,1,1,0,0,-0.3,13.9,1,1,Non-Dropout
0,0.0,0,0,0.0,19,124.8,0,122.0,9070,0,9,9,1.74,1,37,37,0,0,6,6,1,1,0,0,1.4,10.8,1,5,Dropout
5,12.4,6,1,13.42857143,20,119.6,10,122.0,9773,8,3,5,-3.12,17,38,37,0,0,6,6,1,1,0,0,-0.8,9.4,0,2,Non-Dropout
6,13.0,5,1,12.33333333,45,141.5,6,100.0,8014,9,9,9,0.79,39,37,38,0,0,6,6,1,0,0,0,-0.3,13.9,0,1,Non-Dropout
5,11.5,5,1,11.85714286,50,114.8,17,133.1,9991,10,7,9,-0.92,39,37,37,0,1,5,5,19,0,5,0,0.3,16.2,1,1,Non-Dropout
8,14.345,7,1,13.3,18,128.4,8,142.0,9500,9,10,7,-4.06,1,19,38,1,0,8,7,1,1,0,0,2.8,15.5,0,1,Non-Dropout
0,0.0,0,0,0.0,22,113.1,5,119.0,9254,5,9,9,-4.06,18,37,37,0,0,5,5,1,1,0,0,2.8,15.5,1,4,Dropout
6,14.14285714,6,1,13.875,21,129.3,7,137.0,9238,8,9,9,-0.92,1,1,1,1,0,6,6,1,0,0,0,0.3,16.2,0,3,Non-Dropout
2,13.5,5,0,11.4,18,123.0,14,138.0,9238,9,7,4,3.51,1,1,19,0,1,6,6,1,1,0,0,1.4,8.9,0,1,Dropout
